image_name,breed,cluster
0001.jpg,abyssinian,1
0002.jpg,abyssinian,2
0003.jpg,abyssinian,2
0004.jpg,abyssinian,3
0005.jpg,abyssinian,3
0006.jpg,abyssinian,1
0007.jpg,abyssinian,2
0008.jpg,abyssinian,2
0009.jpg,abyssinian,1
0010.jpg,abyssinian,3
0011.jpg,abyssinian,2
0012.jpg,abyssinian,0
0013.jpg,abyssinian,0
0014.jpg,abyssinian,0
0015.jpg,abyssinian,2
0016.jpg,abyssinian,2
0017.jpg,abyssinian,3
0018.jpg,abyssinian,0
0019.jpg,abyssinian,3
0020.jpg,abyssinian,2
0021.jpg,abyssinian,0
0022.jpg,abyssinian,3
0023.jpg,abyssinian,2
0024.jpg,abyssinian,2
0025.jpg,abyssinian,2
0026.jpg,abyssinian,0
0027.jpg,abyssinian,0
0028.jpg,abyssinian,1
0029.jpg,abyssinian,1
0030.jpg,abyssinian,0
0031.jpg,abyssinian,0
0032.jpg,abyssinian,2
0033.jpg,abyssinian,1
0034.jpg,abyssinian,2
0035.jpg,abyssinian,2
0036.jpg,abyssinian,2
0037.jpg,abyssinian,3
0038.jpg,abyssinian,3
0039.jpg,abyssinian,0
0040.jpg,abyssinian,2
0041.jpg,abyssinian,2
0042.jpg,abyssinian,2
0043.jpg,abyssinian,0
0044.jpg,abyssinian,1
0045.jpg,abyssinian,2
0046.jpg,abyssinian,2
0047.jpg,abyssinian,1
0048.jpg,abyssinian,1
0049.jpg,abyssinian,4
0050.jpg,abyssinian,0
0051.jpg,abyssinian,2
0052.jpg,abyssinian,0
0053.jpg,abyssinian,3
0054.jpg,abyssinian,2
0055.jpg,abyssinian,3
0056.jpg,abyssinian,0
0057.jpg,abyssinian,2
0058.jpg,abyssinian,0
0059.jpg,abyssinian,2
0060.jpg,abyssinian,2
0061.jpg,abyssinian,0
0062.jpg,abyssinian,1
0063.jpg,abyssinian,0
0064.jpg,abyssinian,2
0065.jpg,abyssinian,0
0066.jpg,abyssinian,2
0067.jpg,abyssinian,2
0068.jpg,abyssinian,2
0069.jpg,abyssinian,1
0070.jpg,abyssinian,3
0071.jpg,abyssinian,2
0072.jpg,abyssinian,0
0073.jpg,abyssinian,1
0074.jpg,abyssinian,0
0075.jpg,abyssinian,1
0076.jpg,abyssinian,0
0077.jpg,abyssinian,3
0078.jpg,abyssinian,0
0079.jpg,abyssinian,1
0080.jpg,abyssinian,2
0081.jpg,abyssinian,3
0082.jpg,abyssinian,2
0083.jpg,abyssinian,2
0084.jpg,abyssinian,3
0085.jpg,abyssinian,2
0086.jpg,abyssinian,3
0087.jpg,abyssinian,3
0088.jpg,abyssinian,3
0089.jpg,abyssinian,3
0090.jpg,abyssinian,3
0091.jpg,abyssinian,1
0092.jpg,abyssinian,0
0093.jpg,abyssinian,2
0094.jpg,abyssinian,3
0095.jpg,abyssinian,3
0096.jpg,abyssinian,2
0097.jpg,abyssinian,3
0098.jpg,abyssinian,1
0099.jpg,abyssinian,0
0100.jpg,abyssinian,3
0101.jpg,abyssinian,3
0102.jpg,abyssinian,0
0103.jpg,abyssinian,2
0104.jpg,abyssinian,0
0105.jpg,abyssinian,2
0106.jpg,abyssinian,1
0107.jpg,abyssinian,0
0108.jpg,abyssinian,1
0109.jpg,abyssinian,3
0110.jpg,abyssinian,1
0111.jpg,abyssinian,2
0112.jpg,abyssinian,0
0113.jpg,abyssinian,2
0114.jpg,abyssinian,0
0115.jpg,abyssinian,2
0116.jpg,abyssinian,4
0117.jpg,abyssinian,1
0118.jpg,abyssinian,0
0119.jpg,abyssinian,0
0120.jpg,abyssinian,2
0121.jpg,abyssinian,2
0122.jpg,abyssinian,3
0123.jpg,abyssinian,3
0124.jpg,abyssinian,3
0125.jpg,abyssinian,2
0126.jpg,abyssinian,2
0127.jpg,abyssinian,2
0128.jpg,abyssinian,2
0129.jpg,abyssinian,0
0130.jpg,abyssinian,3
0131.jpg,abyssinian,3
0132.jpg,abyssinian,3
0133.jpg,abyssinian,3
0134.jpg,abyssinian,2
0135.jpg,abyssinian,2
0136.jpg,abyssinian,3
0137.jpg,abyssinian,0
0138.jpg,abyssinian,2
0139.jpg,abyssinian,1
0140.jpg,abyssinian,0
0141.jpg,abyssinian,2
0142.jpg,abyssinian,1
0143.jpg,abyssinian,0
0144.jpg,abyssinian,2
0145.jpg,abyssinian,2
0146.jpg,abyssinian,3
0147.jpg,abyssinian,2
0148.jpg,abyssinian,0
0149.jpg,abyssinian,2
0150.jpg,abyssinian,1
0151.jpg,abyssinian,3
0152.jpg,abyssinian,0
0153.jpg,abyssinian,1
0154.jpg,abyssinian,2
0155.jpg,abyssinian,2
0156.jpg,abyssinian,3
0157.jpg,abyssinian,3
0158.jpg,abyssinian,2
0159.jpg,abyssinian,0
0160.jpg,abyssinian,2
0161.jpg,abyssinian,0
0162.jpg,abyssinian,1
0163.jpg,abyssinian,2
0164.jpg,abyssinian,0
0165.jpg,abyssinian,0
0166.jpg,abyssinian,0
0167.jpg,abyssinian,1
0168.jpg,abyssinian,2
0169.jpg,abyssinian,0
0170.jpg,abyssinian,0
0171.jpg,abyssinian,3
0172.jpg,abyssinian,2
